Using gpu device 0: Tesla K20m
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.7034
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.2643
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.1097
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.2792
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.4588
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.299
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.5936
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.098
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9894
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.9842
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9868
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9837
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9899
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.987
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9886
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.2, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.9847
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.745
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.2201
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.0982
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.1011
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.0995
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.286
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.0986
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.1582
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9882
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.9858
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9885
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9855
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9881
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.9813
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9895
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.3, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.9832
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.2773
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.188
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.6422
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.1858
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.7806
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.1022
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.7839
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.3077
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9899
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.9832
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9887
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.9857
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9868
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.9841
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.9889
Parameter combination {'epochs': 5, 'dropout_conv_prob': 0.4, 'learning_rate': 0.001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.9831
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 100} yields an evaluation of 0.9674
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.2, 'batch_size': 200} yields an evaluation of 0.7778
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 100} yields an evaluation of 0.9664
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.3, 'batch_size': 200} yields an evaluation of 0.7276
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 100} yields an evaluation of 0.9676
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.4, 'batch_size': 200} yields an evaluation of 0.1295
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 100} yields an evaluation of 0.95
Parameter combination {'epochs': 10, 'dropout_conv_prob': 0.2, 'learning_rate': 0.0001, 'dropout_hidden_prob': 0.5, 'batch_size': 200} yields an evaluation of 0.2903
